2025-02-15T22:15:25,216.88%,12.77MiB / 23.33GiB,0.05%
2025-02-15T22:15:29,213.17%,12.84MiB / 23.33GiB,0.05%
2025-02-15T22:15:32,216.89%,13MiB / 23.33GiB,0.05%
2025-02-15T22:15:36,216.63%,13MiB / 23.33GiB,0.05%
2025-02-15T22:15:39,212.33%,12.89MiB / 23.33GiB,0.05%
2025-02-15T22:15:43,214.76%,13.07MiB / 23.33GiB,0.05%
2025-02-15T22:15:47,216.10%,12.87MiB / 23.33GiB,0.05%
2025-02-15T22:15:50,214.55%,13.26MiB / 23.33GiB,0.06%
2025-02-15T22:15:54,213.54%,12.98MiB / 23.33GiB,0.05%
2025-02-15T22:15:57,220.07%,13.04MiB / 23.33GiB,0.05%
2025-02-15T22:16:01,219.36%,13MiB / 23.33GiB,0.05%
2025-02-15T22:16:05,217.63%,12.96MiB / 23.33GiB,0.05%
2025-02-15T22:16:08,216.71%,13.01MiB / 23.33GiB,0.05%
2025-02-15T22:16:12,211.96%,12.69MiB / 23.33GiB,0.05%
2025-02-15T22:16:16,216.58%,12.79MiB / 23.33GiB,0.05%
2025-02-15T22:16:19,222.81%,13MiB / 23.33GiB,0.05%
2025-02-15T22:16:23,216.63%,12.68MiB / 23.33GiB,0.05%
2025-02-15T22:16:26,215.93%,12.88MiB / 23.33GiB,0.05%
2025-02-15T22:16:30,213.75%,13.31MiB / 23.33GiB,0.06%
2025-02-15T22:16:34,218.01%,13.03MiB / 23.33GiB,0.05%
2025-02-15T22:16:37,219.56%,13.03MiB / 23.33GiB,0.05%
2025-02-15T22:16:41,218.26%,13.05MiB / 23.33GiB,0.05%
2025-02-15T22:16:45,218.19%,13.06MiB / 23.33GiB,0.05%
2025-02-15T22:16:48,219.02%,12.95MiB / 23.33GiB,0.05%
2025-02-15T22:16:52,224.10%,13.2MiB / 23.33GiB,0.06%
2025-02-15T22:16:55,218.94%,12.75MiB / 23.33GiB,0.05%
2025-02-15T22:16:59,226.98%,13.15MiB / 23.33GiB,0.06%
2025-02-15T22:17:03,215.33%,13.29MiB / 23.33GiB,0.06%
2025-02-15T22:17:06,212.01%,12.91MiB / 23.33GiB,0.05%
2025-02-15T22:17:10,218.55%,13.7MiB / 23.33GiB,0.06%
2025-02-15T22:17:14,219.94%,13.36MiB / 23.33GiB,0.06%
2025-02-15T22:17:17,217.05%,13.05MiB / 23.33GiB,0.05%
2025-02-15T22:17:21,216.05%,13MiB / 23.33GiB,0.05%
2025-02-15T22:17:24,215.31%,12.91MiB / 23.33GiB,0.05%
2025-02-15T22:17:28,214.39%,13.34MiB / 23.33GiB,0.06%
2025-02-15T22:17:32,216.54%,13.03MiB / 23.33GiB,0.05%
2025-02-15T22:17:35,215.85%,12.96MiB / 23.33GiB,0.05%
2025-02-15T22:17:39,214.27%,13.52MiB / 23.33GiB,0.06%
2025-02-15T22:17:42,213.48%,12.84MiB / 23.33GiB,0.05%
2025-02-15T22:17:46,216.79%,13.19MiB / 23.33GiB,0.06%
2025-02-15T22:17:50,219.34%,13.18MiB / 23.33GiB,0.06%
2025-02-15T22:17:53,236.18%,12.65MiB / 23.33GiB,0.05%
2025-02-15T22:17:57,233.14%,13.24MiB / 23.33GiB,0.06%
2025-02-15T22:18:01,235.91%,13.14MiB / 23.33GiB,0.05%
2025-02-15T22:18:04,223.13%,13.12MiB / 23.33GiB,0.05%
2025-02-15T22:18:08,214.77%,12.91MiB / 23.33GiB,0.05%
2025-02-15T22:18:11,214.23%,13.29MiB / 23.33GiB,0.06%
2025-02-15T22:18:15,238.10%,12.97MiB / 23.33GiB,0.05%
2025-02-15T22:18:19,234.63%,13.12MiB / 23.33GiB,0.05%
2025-02-15T22:18:22,236.73%,13.42MiB / 23.33GiB,0.06%
2025-02-15T22:18:26,216.21%,13.11MiB / 23.33GiB,0.05%
2025-02-15T22:18:30,225.44%,13.23MiB / 23.33GiB,0.06%
2025-02-15T22:18:33,233.19%,13.02MiB / 23.33GiB,0.05%
2025-02-15T22:18:37,233.82%,12.86MiB / 23.33GiB,0.05%
2025-02-15T22:18:40,220.15%,13.59MiB / 23.33GiB,0.06%
2025-02-15T22:18:44,216.99%,13.24MiB / 23.33GiB,0.06%
2025-02-15T22:18:48,237.99%,13.02MiB / 23.33GiB,0.05%
2025-02-15T22:18:51,237.05%,13.43MiB / 23.33GiB,0.06%
2025-02-15T22:18:55,235.77%,13.43MiB / 23.33GiB,0.06%
2025-02-15T22:18:59,214.74%,13.87MiB / 23.33GiB,0.06%
2025-02-15T22:19:02,213.86%,13.42MiB / 23.33GiB,0.06%
2025-02-15T22:19:06,237.71%,13.41MiB / 23.33GiB,0.06%
2025-02-15T22:19:09,242.44%,13.34MiB / 23.33GiB,0.06%
2025-02-15T22:19:13,243.80%,13.16MiB / 23.33GiB,0.06%
2025-02-15T22:19:17,216.89%,13.63MiB / 23.33GiB,0.06%
2025-02-15T22:19:20,221.77%,13.73MiB / 23.33GiB,0.06%
2025-02-15T22:19:24,215.58%,13.3MiB / 23.33GiB,0.06%
2025-02-15T22:19:28,218.26%,13.5MiB / 23.33GiB,0.06%
2025-02-15T22:19:31,218.56%,13.57MiB / 23.33GiB,0.06%
2025-02-15T22:19:35,214.95%,13.48MiB / 23.33GiB,0.06%
2025-02-15T22:19:39,238.38%,13.62MiB / 23.33GiB,0.06%
2025-02-15T22:19:42,237.23%,13.61MiB / 23.33GiB,0.06%
2025-02-15T22:19:46,240.05%,13.45MiB / 23.33GiB,0.06%
2025-02-15T22:19:49,236.70%,13.41MiB / 23.33GiB,0.06%
2025-02-15T22:19:53,234.69%,13.65MiB / 23.33GiB,0.06%
2025-02-15T22:19:57,231.98%,13.36MiB / 23.33GiB,0.06%
2025-02-15T22:20:00,226.41%,13.49MiB / 23.33GiB,0.06%
2025-02-15T22:20:04,217.11%,13.02MiB / 23.33GiB,0.05%
2025-02-15T22:20:07,217.65%,13.18MiB / 23.33GiB,0.06%
2025-02-15T22:20:11,219.81%,12.98MiB / 23.33GiB,0.05%
2025-02-15T22:20:15,217.01%,13.6MiB / 23.33GiB,0.06%
2025-02-15T22:20:18,216.98%,13.47MiB / 23.33GiB,0.06%
2025-02-15T22:20:22,213.66%,13.91MiB / 23.33GiB,0.06%
2025-02-15T22:20:26,229.79%,13.36MiB / 23.33GiB,0.06%
2025-02-15T22:20:29,219.01%,13.5MiB / 23.33GiB,0.06%
2025-02-15T22:20:33,217.06%,13.84MiB / 23.33GiB,0.06%
2025-02-15T22:20:36,215.72%,13.53MiB / 23.33GiB,0.06%
2025-02-15T22:20:40,218.81%,13.37MiB / 23.33GiB,0.06%
2025-02-15T22:20:44,219.16%,13.41MiB / 23.33GiB,0.06%
2025-02-15T22:20:47,213.78%,13.47MiB / 23.33GiB,0.06%
2025-02-15T22:20:51,213.56%,13.73MiB / 23.33GiB,0.06%
